l1,l2,l3
5168,Serra_do_Mar,AF
5169,Serra_do_Mar,AF
5170,Serra_do_Mar,AF
5284,Alto_Parana,AF
5285,Alto_Parana,AF
5290,Serra_do_Mar,AF
5291,Serra_do_Mar,AF
5292,Serra_do_Mar,AF
5293,Serra_do_Mar,AF
5294,Serra_do_Mar,AF
5409,Alto_Parana,AF
5410,Alto_Parana,AF
5411,Alto_Parana,AF
5412,Serra_do_Mar,AF
5413,Serra_do_Mar,AF
5416,Serra_do_Mar,AF
5417,Mangroves,AF
5529,Alto_Parana,AF
5536,Alto_Parana,AF
5537,Serra_do_Mar,AF
5538,Serra_do_Mar,AF
5539,Serra_do_Mar,AF
5540,Serra_do_Mar,AF
5541,Mangroves,AF
5645,Bahia_Interior,AF
5653,Alto_Parana,AF
5659,Alto_Parana,AF
5660,Serra_do_Mar,AF
5661,Serra_do_Mar,AF
5663,Serra_do_Mar,AF
5664,Serra_do_Mar,AF
5774,Bahia_Interior,AF
5775,Bahia_Interior,AF
5777,Alto_Parana,AF
5778,Alto_Parana,AF
5783,Alto_Parana,AF
5784,Alto_Parana,AF
5786,Serra_do_Mar,AF
5788,Serra_do_Mar,AF
5898,Bahia_Interior,AF
5902,Alto_Parana,AF
5905,Alto_Parana,AF
5906,Alto_Parana,AF
5907,Alto_Parana,AF
5908,Alto_Parana,AF
5909,Serra_do_Mar,AF
5911,Serra_do_Mar,AF
5912,Serra_do_Mar,AF
6003,Atlantic_Dry,AF
6028,Alto_Parana,AF
6030,Alto_Parana,AF
6031,Alto_Parana,AF
6032,Alto_Parana,AF
6034,Serra_do_Mar,AF
6035,Serra_do_Mar,AF
6109,Atlantic_Dry,AF
6144,Bahia_Interior,AF
6145,Bahia_Interior,AF
6148,Bahia_Interior,AF
6150,Bahia_Interior,AF
6151,Alto_Parana,AF
6152,Alto_Parana,AF
6153,Alto_Parana,AF
6155,Alto_Parana,AF
6156,Serra_do_Mar,AF
6157,Serra_do_Mar,AF
6158,Serra_do_Mar,AF
6159,Serra_do_Mar,AF
6242,Atlantic_Dry,AF
6252,Atlantic_Dry,AF
6257,Atlantic_Dry,AF
6275,Alto_Parana,AF
6276,Alto_Parana,AF
6277,Alto_Parana,AF
6278,Serra_do_Mar,AF
6279,Alto_Parana,AF
6280,Serra_do_Mar,AF
6282,Mangroves,AF
6375,Atlantic_Dry,AF
6402,Alto_Parana,AF
6403,Alto_Parana,AF
6404,Serra_do_Mar,AF
6405,Mangroves,AF
6406,Serra_do_Mar,AF
6491,Atlantic_Dry,AF
6498,Atlantic_Dry,AF
6500,Atlantic_Dry,AF
6510,Bahia_Interior,AF
6518,Bahia_Interior,AF
6521,Bahia_Interior,AF
6524,Bahia_Interior,AF
6525,Bahia_Interior,AF
6526,Alto_Parana,AF
6527,Alto_Parana,AF
6528,Serra_do_Mar,AF
6529,Serra_do_Mar,AF
6622,Atlantic_Dry,AF
6628,Atlantic_Dry,AF
6633,Bahia_Interior,AF
6634,Bahia_Interior,AF
6635,Bahia_Interior,AF
6636,Bahia_Interior,AF
6637,Bahia_Interior,AF
6640,Bahia_Interior,AF
6641,Bahia_Interior,AF
6642,Bahia_Interior,AF
6643,Bahia_Interior,AF
6644,Bahia_Interior,AF
6645,Bahia_Interior,AF
6647,Bahia_Interior,AF
6648,Bahia_Interior,AF
6649,Bahia_Interior,AF
6651,Alto_Parana,AF
6652,Serra_do_Mar,AF
6734,Atlantic_Dry,AF
6743,Atlantic_Dry,AF
6756,Bahia_Interior,AF
6757,Bahia_Interior,AF
6759,Bahia_Interior,AF
6760,Bahia_Interior,AF
6761,Bahia_Interior,AF
6762,Bahia_Interior,AF
6764,Bahia_Interior,AF
6765,Bahia_Interior,AF
6766,Bahia_Interior,AF
6767,Bahia_Interior,AF
6770,Bahia_Interior,AF
6771,Bahia_Interior,AF
6772,Bahia_Interior,AF
6774,Alto_Parana,AF
6775,Serra_do_Mar,AF
6882,Bahia_Interior,AF
6883,Bahia_Interior,AF
6884,Bahia_Interior,AF
6885,Bahia_Interior,AF
6886,Bahia_Interior,AF
6887,Bahia_Interior,AF
6888,Bahia_Interior,AF
6889,Bahia_Interior,AF
6890,Bahia_Interior,AF
6891,Bahia_Interior,AF
6893,Bahia_Interior,AF
6895,Bahia_Interior,AF
6896,Bahia_Interior,AF
6898,Serra_do_Mar,AF
6899,Serra_do_Mar,AF
6900,Serra_do_Mar,AF
6901,Serra_do_Mar,AF
