id,local,value
2590,Alto_Parana,unique
2597,Restingas,unique
2598,Restingas,unique
2599,Restingas,unique
2678,Alto_Parana,unique
2679,Alto_Parana,unique
2680,Alto_Parana,unique
2681,Alto_Parana,unique
2682,Alto_Parana,unique
2683,Alto_Parana,unique
2684,Alto_Parana,unique
2685,Alto_Parana,unique
2686,Alto_Parana,unique
2687,Alto_Parana,unique
2688,Alto_Parana,unique
2689,Alto_Parana,unique
2690,Alto_Parana,dup
2690,Araucaria,dup
2691,Araucaria,unique
2692,Araucaria,unique
2693,Araucaria,unique
2694,Araucaria,unique
2695,Araucaria,unique
2696,Araucaria,unique
2697,Araucaria,unique
2698,Araucaria,unique
2699,Araucaria,unique
2700,Araucaria,unique
2701,Araucaria,unique
2702,Alto_Parana,dup
2702,Araucaria,dup
2703,Alto_Parana,dup
2703,Araucaria,dup
2704,Araucaria,unique
2705,Araucaria,unique
2706,Araucaria,unique
2707,Araucaria,unique
2708,Alto_Parana,dup
2708,Araucaria,dup
2709,Alto_Parana,dup
2709,Araucaria,dup
2710,Alto_Parana,dup
2710,Araucaria,dup
2711,Alto_Parana,unique
2712,Alto_Parana,unique
2713,Alto_Parana,unique
2800,Alto_Parana,unique
2801,Alto_Parana,unique
2802,Alto_Parana,unique
2803,Alto_Parana,unique
2804,Alto_Parana,unique
2805,Alto_Parana,unique
2806,Alto_Parana,unique
2807,Alto_Parana,unique
2808,Alto_Parana,unique
2809,Alto_Parana,unique
2810,Alto_Parana,unique
2811,Alto_Parana,unique
2812,Alto_Parana,unique
2813,Alto_Parana,dup
2813,Araucaria,dup
2814,Alto_Parana,dup
2814,Araucaria,dup
2815,Alto_Parana,dup
2815,Araucaria,dup
2816,Alto_Parana,dup
2816,Araucaria,dup
2817,Araucaria,unique
2818,Araucaria,unique
2819,Araucaria,unique
2820,Araucaria,unique
2821,Araucaria,unique
2822,Araucaria,unique
2823,Araucaria,unique
2824,Araucaria,unique
2825,Araucaria,unique
2826,Araucaria,unique
2827,Araucaria,unique
2828,Araucaria,unique
2829,Araucaria,unique
2830,Araucaria,unique
2831,Araucaria,unique
2832,Alto_Parana,dup
2832,Araucaria,dup
