l1,l2,l3
3066,Araucaria,AF
3067,Araucaria,AF
3068,Araucaria,AF
3069,Araucaria,AF
3070,Araucaria,AF
3071,Araucaria,AF
3072,Araucaria,AF
3073,Araucaria,AF
3074,Araucaria,AF
3075,Araucaria,AF
3076,Araucaria,AF
3077,Araucaria,AF
3078,Araucaria,AF
3079,Araucaria,AF
3080,Araucaria,AF
3081,Alto_Parana,AF
3082,Araucaria,AF
3083,Alto_Parana,AF
3084,Alto_Parana,AF
3158,Alto_Parana,AF
3163,Alto_Parana,AF
3165,Alto_Parana,AF
3169,Alto_Parana,AF
3170,Alto_Parana,AF
3171,Alto_Parana,AF
3172,Alto_Parana,AF
3174,Alto_Parana,AF
3176,Alto_Parana,AF
3178,Alto_Parana,AF
3182,Alto_Parana,AF
3183,Alto_Parana,AF
3184,Araucaria,AF
3185,Araucaria,AF
3186,Araucaria,AF
3188,Araucaria,AF
3189,Araucaria,AF
3190,Araucaria,AF
3192,Araucaria,AF
3193,Araucaria,AF
3194,Araucaria,AF
3195,Araucaria,AF
3196,Araucaria,AF
3197,Araucaria,AF
3198,Araucaria,AF
3199,Araucaria,AF
3200,Araucaria,AF
3201,Araucaria,AF
3202,Araucaria,AF
3203,Araucaria,AF
3204,Araucaria,AF
3205,Araucaria,AF
3206,Araucaria,AF
3207,Alto_Parana,AF
3208,Alto_Parana,AF
3209,Alto_Parana,AF
3213,Restingas,AF
3214,Restingas,AF
3279,Alto_Parana,AF
3281,Alto_Parana,AF
3287,Alto_Parana,AF
3289,Alto_Parana,AF
3294,Alto_Parana,AF
3298,Alto_Parana,AF
3300,Alto_Parana,AF
3303,Alto_Parana,AF
3306,Alto_Parana,AF
3308,Araucaria,AF
3309,Araucaria,AF
3310,Araucaria,AF
3311,Araucaria,AF
3312,Araucaria,AF
3313,Araucaria,AF
3314,Araucaria,AF
3315,Araucaria,AF
3317,Araucaria,AF
3318,Araucaria,AF
3319,Araucaria,AF
3320,Araucaria,AF
3321,Araucaria,AF
3322,Araucaria,AF
3323,Araucaria,AF
3324,Araucaria,AF
3325,Araucaria,AF
3326,Araucaria,AF
3327,Araucaria,AF
3328,Araucaria,AF
3329,Araucaria,AF
3330,Araucaria,AF
3331,Alto_Parana,AF
3332,Alto_Parana,AF
3333,Alto_Parana,AF
3336,Restingas,AF
3402,Alto_Parana,AF
3405,Alto_Parana,AF
3407,Alto_Parana,AF
3410,Alto_Parana,AF
3411,Alto_Parana,AF
3417,Alto_Parana,AF
3418,Alto_Parana,AF
3421,Alto_Parana,AF
3422,Alto_Parana,AF
3424,Alto_Parana,AF
3427,Alto_Parana,AF
3428,Alto_Parana,AF
3430,Alto_Parana,AF
3431,Alto_Parana,AF
3433,Araucaria,AF
3434,Araucaria,AF
3435,Araucaria,AF
3437,Araucaria,AF
3438,Araucaria,AF
3439,Araucaria,AF
3440,Araucaria,AF
3441,Araucaria,AF
3442,Araucaria,AF
3443,Araucaria,AF
3444,Araucaria,AF
3445,Araucaria,AF
3446,Araucaria,AF
3447,Araucaria,AF
3448,Araucaria,AF
3449,Araucaria,AF
3451,Araucaria,AF
3452,Araucaria,AF
3453,Araucaria,AF
3454,Araucaria,AF
3455,Araucaria,AF
3456,Alto_Parana,AF
3457,Alto_Parana,AF
3458,Restingas,AF
3459,Restingas,AF
3460,Restingas,AF
3523,Alto_Parana,AF
3525,Alto_Parana,AF
3526,Alto_Parana,AF
3535,Alto_Parana,AF
3536,Alto_Parana,AF
3542,Alto_Parana,AF
3543,Alto_Parana,AF
3544,Alto_Parana,AF
3545,Alto_Parana,AF
3546,Alto_Parana,AF
